Senate Vote #36 2014-02-24T17:42:00 - On the Cloture Motion PN1192: Jeffrey Alker Meyer, of Connecticut, to be United States District Judge for the District of Connecticut
person,state,district,vote,name,party
300002,TN,,Yea,"Sen. Lamar Alexander [R, 2003-2020]",Republican
300011,CA,,Yea,Sen. Barbara Boxer [D],Democrat
300018,WA,,Yea,Sen. Maria Cantwell [D],Democrat
300019,DE,,Yea,Sen. Thomas Carper [D],Democrat
300021,GA,,Nay,"Sen. Saxby Chambliss [R, 2003-2014]",Republican
300023,MS,,Nay,"Sen. Thad Cochran [R, 1979-2020]",Republican
300025,ME,,Yea,"Sen. Susan Collins [R, 1997-2020]",Republican
300027,TX,,Nay,"Sen. John Cornyn [R, 2002-2020]",Republican
300030,ID,,Nay,Sen. Michael Crapo [R],Republican
300038,IL,,Yea,"Sen. Richard Durbin [D, 1997-2020]",Democrat
300041,WY,,Nay,"Sen. Michael Enzi [R, 1997-2020]",Republican
300043,CA,,Yea,Sen. Dianne Feinstein [D],Democrat
300047,SC,,Not Voting,"Sen. Lindsey Graham [R, 2003-2020]",Republican
300048,IA,,Nay,Sen. Charles “Chuck” Grassley [R],Republican
300051,IA,,Yea,"Sen. Thomas “Tom” Harkin [D, 1985-2014]",Democrat
300052,UT,,Present,Sen. Orrin Hatch [R],Republican
300055,OK,,Nay,"Sen. James “Jim” Inhofe [R, 1994-2020]",Republican
300058,SD,,Yea,"Sen. Tim Johnson [D, 1997-2014]",Democrat
300063,LA,,Not Voting,"Sen. Mary Landrieu [D, 1997-2014]",Democrat
300065,VT,,Yea,Sen. Patrick Leahy [D],Democrat
300066,MI,,Yea,"Sen. Carl Levin [D, 1979-2014]",Democrat
300071,AZ,,Nay,Sen. John McCain [R],Republican
300072,KY,,Nay,"Sen. Mitch McConnell [R, 1985-2020]",Republican
300073,MD,,Yea,Sen. Barbara Mikulski [D],Democrat
300075,AK,,Not Voting,Sen. Lisa Murkowski [R],Republican
300076,WA,,Yea,Sen. Patty Murray [D],Democrat
300078,FL,,Not Voting,Sen. Bill Nelson [D],Democrat
300080,AR,,Yea,"Sen. Mark Pryor [D, 2003-2014]",Democrat
300081,RI,,Yea,"Sen. John “Jack” Reed [D, 1997-2020]",Democrat
300082,NV,,Yea,Sen. Harry Reid [D],Democrat
300083,KS,,Nay,"Sen. Pat Roberts [R, 1997-2020]",Republican
300084,WV,,Yea,"Sen. John “Jay” Rockefeller IV [D, 1985-2014]",Democrat
300087,NY,,Yea,Sen. Charles “Chuck” Schumer [D],Democrat
300088,AL,,Nay,"Sen. Jefferson “Jeff” Sessions [R, 1997-2020]",Republican
300089,AL,,Nay,Sen. Richard Shelby [R],Republican
300093,MI,,Yea,Sen. Debbie Stabenow [D],Democrat
300100,OR,,Yea,Sen. Ron Wyden [D],Democrat
400013,WI,,Yea,Sen. Tammy Baldwin [D],Democrat
400034,MO,,Nay,Sen. Roy Blunt [R],Republican
400040,AR,,Nay,Sen. John Boozman [R],Republican
400050,OH,,Yea,Sen. Sherrod Brown [D],Democrat
400054,NC,,Nay,Sen. Richard Burr [R],Republican
400064,MD,,Yea,Sen. Benjamin Cardin [D],Democrat
400134,AZ,,Nay,Sen. Jeff Flake [R],Republican
400194,GA,,Not Voting,Sen. John “Johnny” Isakson [R],Republican
400222,IL,,Nay,Sen. Mark Kirk [R],Republican
400253,MA,,Yea,"Sen. Edward “Ed” Markey [D, 2013-2020]",Democrat
400272,NJ,,Yea,Sen. Robert “Bob” Menéndez [D],Democrat
